edad,genero,zona_residencia,nivel,grado,tipo_escuela,veces_repitio_grado,sobre_edad,promedio_actual,promedio_anterior,materias_reprobadas,porcentaje_asistencia,tercil_socioeconomico,nivel_educacion_padres,trabaja_estudiante
6,M,Rural,Primaria,1,Particular,0,0,2.71,2.44,0,71.7,1,Primaria_Incompleta,0
10,F,Rural,Primaria,5,Oficial,0,0,3.64,3.38,0,68.8,2,Secundaria_Completa,1
11,F,Urbana,Primaria,6,Oficial,0,0,3.18,3.17,0,80.0,2,Universidad,1
16,M,Urbana,Premedia,8,Oficial,0,3,2.82,2.65,0,60.5,1,Secundaria_Incompleta,1
11,F,Urbana,Primaria,4,Oficial,0,2,4.31,5.0,0,78.8,1,Secundaria_Completa,0
9,M,Urbana,Primaria,4,Oficial,0,0,3.65,3.53,1,87.3,3,Universidad,0
16,M,Urbana,Premedia,8,Oficial,0,3,3.45,3.71,0,75.0,1,Secundaria_Incompleta,0
12,M,Urbana,Primaria,5,Oficial,0,2,3.85,3.63,0,86.9,2,Universidad,0
11,F,Urbana,Primaria,3,Oficial,0,3,3.4,3.43,0,70.9,1,Secundaria_Incompleta,0
10,F,Rural,Primaria,5,Particular,0,0,5.0,4.26,0,87.0,3,Universidad,0
9,F,Urbana,Primaria,4,Oficial,1,0,1.85,1.97,0,68.0,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,3.96,3.59,2,70.4,1,Primaria_Completa,0
16,M,Rural,Media,11,Oficial,0,0,2.14,2.49,2,58.9,1,Secundaria_Completa,1
6,F,Rural,Primaria,1,Particular,0,0,3.62,3.38,0,86.9,3,Secundaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,4.73,5.0,0,87.6,3,Secundaria_Completa,0
17,F,Urbana,Media,12,Particular,0,0,2.98,2.66,3,66.6,1,Primaria_Completa,1
13,F,Urbana,Premedia,8,Oficial,0,0,2.49,2.49,3,64.8,1,Secundaria_Incompleta,0
11,M,Urbana,Primaria,6,Oficial,0,0,3.98,5.0,0,88.1,2,Secundaria_Completa,0
6,M,Rural,Primaria,1,Oficial,0,0,2.78,2.89,3,67.7,1,Primaria_Completa,0
20,M,Urbana,Media,12,Particular,0,3,3.08,2.95,0,61.4,1,Secundaria_Completa,1
12,M,Urbana,Primaria,6,Oficial,0,1,2.44,1.79,0,61.2,1,Primaria_Completa,0
15,F,Urbana,Premedia,7,Oficial,2,3,1.78,2.13,2,61.3,1,Primaria_Completa,1
12,F,Urbana,Premedia,7,Oficial,0,0,4.05,3.61,0,76.2,1,Secundaria_Completa,0
16,F,Urbana,Media,11,Oficial,0,0,2.2,2.21,2,58.2,1,Primaria_Incompleta,1
12,F,Urbana,Premedia,7,Oficial,0,0,3.38,3.77,2,82.1,1,Secundaria_Incompleta,0
20,M,Rural,Media,12,Oficial,0,3,1.56,2.16,0,75.2,2,Secundaria_Completa,0
11,M,Urbana,Primaria,6,Particular,0,0,2.71,2.85,0,83.1,1,Primaria_Completa,0
17,F,Urbana,Media,12,Oficial,0,0,2.75,1.89,0,54.9,1,Secundaria_Incompleta,1
15,M,Urbana,Media,10,Particular,0,0,2.51,2.91,0,65.5,1,Secundaria_Completa,1
14,F,Urbana,Premedia,9,Oficial,0,0,3.24,3.98,0,81.4,2,Secundaria_Completa,0
15,F,Rural,Media,10,Oficial,0,0,2.88,3.24,2,59.7,1,Secundaria_Incompleta,1
15,F,Urbana,Media,10,Oficial,2,0,2.53,2.16,0,74.2,1,Secundaria_Incompleta,0
13,F,Rural,Premedia,8,Oficial,0,0,2.84,2.59,0,69.5,1,Secundaria_Incompleta,0
9,F,Urbana,Primaria,4,Oficial,0,0,3.51,4.47,0,69.7,1,Secundaria_Incompleta,0
10,F,Rural,Primaria,5,Oficial,3,0,1.84,2.37,2,89.9,2,Universidad,0
17,M,Urbana,Media,12,Oficial,0,0,2.3,1.72,0,51.7,1,Primaria_Incompleta,1
13,M,Urbana,Premedia,8,Oficial,0,0,3.64,4.16,0,76.4,2,Secundaria_Incompleta,1
17,F,Urbana,Media,12,Particular,0,0,1.17,1.59,3,66.0,1,Secundaria_Incompleta,0
8,M,Urbana,Primaria,3,Oficial,0,0,5.0,5.0,0,92.4,2,Secundaria_Completa,0
15,M,Urbana,Media,10,Oficial,0,0,2.97,2.74,0,69.9,1,Primaria_Completa,0
19,M,Rural,Media,11,Oficial,0,3,4.68,4.47,0,88.7,2,Secundaria_Completa,0
9,M,Rural,Primaria,4,Oficial,1,0,3.09,2.44,0,88.6,2,Primaria_Completa,0
9,F,Rural,Primaria,2,Oficial,0,2,3.9,4.19,1,89.5,2,Universidad,0
18,M,Urbana,Media,10,Oficial,0,3,4.44,4.0,0,61.6,1,Secundaria_Incompleta,1
12,M,Rural,Primaria,6,Oficial,0,1,3.8,3.11,0,63.7,1,Secundaria_Incompleta,0
10,F,Urbana,Primaria,4,Oficial,0,1,4.14,3.16,0,87.3,2,Secundaria_Incompleta,0
12,M,Rural,Premedia,7,Particular,0,0,3.91,3.97,0,89.2,3,Universidad,0
7,F,Urbana,Primaria,2,Oficial,0,0,5.0,5.0,0,93.3,3,Universidad,0
10,F,Urbana,Primaria,5,Oficial,0,0,2.46,2.62,0,56.2,1,Primaria_Completa,1
15,F,Rural,Media,10,Oficial,0,0,2.13,1.8,2,61.5,1,Secundaria_Incompleta,0
13,M,Urbana,Premedia,8,Oficial,0,0,3.58,4.13,0,76.3,1,Secundaria_Completa,0
17,F,Urbana,Media,12,Oficial,2,0,1.98,1.87,0,62.5,1,Secundaria_Incompleta,0
6,F,Rural,Primaria,1,Oficial,1,0,2.53,2.06,2,72.1,1,Primaria_Completa,0
18,F,Rural,Media,10,Oficial,0,3,3.77,3.84,0,74.9,1,Universidad,0
11,M,Urbana,Primaria,6,Oficial,0,0,2.56,3.1,3,65.7,1,Secundaria_Incompleta,0
13,F,Urbana,Premedia,8,Oficial,0,0,4.09,5.0,0,82.9,1,Secundaria_Completa,0
16,M,Urbana,Premedia,8,Oficial,0,3,3.99,3.76,3,67.2,1,Universidad,1
14,F,Urbana,Premedia,9,Oficial,0,0,4.66,4.28,0,80.0,2,Universidad,0
6,M,Urbana,Primaria,1,Oficial,0,0,3.26,3.08,0,54.5,1,Primaria_Completa,1
13,M,Urbana,Premedia,8,Oficial,0,0,3.45,3.78,0,75.1,1,Secundaria_Incompleta,0
14,F,Rural,Premedia,9,Oficial,0,0,4.15,3.99,0,90.5,2,Secundaria_Completa,0
11,M,Urbana,Primaria,6,Oficial,0,0,3.75,4.24,0,65.8,1,Secundaria_Incompleta,0
12,M,Urbana,Premedia,7,Oficial,0,0,4.1,4.04,0,92.2,3,Secundaria_Completa,0
11,M,Urbana,Primaria,6,Oficial,0,0,2.61,2.62,0,83.0,1,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Oficial,0,0,3.43,3.73,0,64.7,1,Primaria_Completa,1
9,M,Urbana,Primaria,4,Oficial,0,0,3.18,3.54,0,75.7,1,Primaria_Completa,0
12,M,Urbana,Premedia,7,Oficial,0,0,3.17,3.32,1,80.3,2,Secundaria_Incompleta,0
11,M,Urbana,Primaria,6,Particular,0,0,4.47,4.62,0,76.2,3,Secundaria_Completa,0
16,F,Rural,Media,11,Particular,0,0,2.88,2.96,0,74.4,1,Primaria_Completa,0
14,M,Rural,Premedia,9,Oficial,0,0,4.99,4.87,0,91.7,2,Universidad,0
6,F,Urbana,Primaria,1,Oficial,0,0,3.64,3.71,0,83.6,2,Secundaria_Incompleta,0
6,M,Urbana,Primaria,1,Oficial,0,0,3.69,3.39,0,74.2,1,Secundaria_Incompleta,0
19,M,Urbana,Media,11,Oficial,0,3,3.66,4.08,1,67.9,1,Secundaria_Incompleta,0
11,F,Rural,Primaria,6,Oficial,0,0,2.81,2.7,3,77.5,1,Secundaria_Completa,0
8,M,Urbana,Primaria,3,Oficial,0,0,2.92,3.56,0,74.8,1,Secundaria_Completa,0
15,M,Urbana,Media,10,Oficial,0,0,3.19,3.5,0,74.8,2,Secundaria_Completa,1
6,F,Urbana,Primaria,1,Oficial,0,0,3.77,3.7,0,89.9,3,Universidad,0
15,F,Urbana,Media,10,Oficial,0,0,2.87,2.62,0,85.1,1,Primaria_Completa,0
11,M,Rural,Primaria,5,Oficial,0,1,3.67,3.4,0,77.1,1,Secundaria_Completa,0
12,M,Rural,Premedia,7,Oficial,0,0,4.73,5.0,0,89.2,2,Secundaria_Incompleta,0
13,M,Urbana,Premedia,8,Oficial,0,0,3.24,3.76,0,66.6,1,Secundaria_Completa,0
7,F,Urbana,Primaria,2,Oficial,0,0,4.32,3.92,0,93.8,2,Secundaria_Completa,0
17,F,Rural,Media,12,Oficial,0,0,3.18,3.76,0,88.4,2,Secundaria_Completa,0
12,M,Urbana,Premedia,7,Oficial,0,0,3.33,3.48,0,73.6,1,Secundaria_Incompleta,0
10,M,Urbana,Primaria,5,Oficial,0,0,3.07,3.05,0,73.1,1,Primaria_Completa,0
16,F,Urbana,Media,11,Oficial,0,0,3.34,3.77,0,69.6,1,Secundaria_Incompleta,0
16,F,Rural,Media,11,Oficial,0,0,1.97,2.13,0,59.8,1,Universidad,1
12,M,Urbana,Premedia,7,Oficial,0,0,2.75,2.72,3,65.4,1,Primaria_Incompleta,0
10,M,Urbana,Primaria,4,Oficial,0,1,2.74,2.32,0,76.4,1,Secundaria_Completa,0
18,M,Urbana,Media,11,Oficial,0,2,1.17,1.12,3,57.6,1,Primaria_Completa,1
17,F,Rural,Premedia,9,Particular,0,3,3.07,2.82,0,76.0,1,Universidad,0
13,F,Urbana,Premedia,8,Particular,0,0,3.6,3.47,0,83.8,2,Universidad,0
11,F,Urbana,Primaria,6,Particular,0,0,4.48,4.24,0,85.8,2,Universidad,0
20,M,Urbana,Media,12,Oficial,2,3,2.96,2.28,2,86.7,2,Secundaria_Incompleta,0
10,F,Rural,Primaria,5,Particular,0,0,3.21,3.77,0,73.2,1,Primaria_Incompleta,0
14,F,Urbana,Premedia,9,Oficial,0,0,4.14,4.51,0,80.4,2,Secundaria_Completa,0
14,M,Urbana,Premedia,9,Particular,2,0,2.37,2.13,1,78.8,2,Secundaria_Incompleta,0
18,M,Rural,Media,12,Oficial,0,1,2.61,2.4,0,70.4,1,Secundaria_Incompleta,0
16,M,Rural,Media,11,Particular,3,0,2.59,2.45,0,74.8,1,Secundaria_Incompleta,0
10,F,Rural,Primaria,5,Oficial,0,0,4.64,5.0,0,83.7,3,Secundaria_Completa,0
16,F,Urbana,Media,11,Oficial,0,0,4.2,4.06,3,87.1,3,Universidad,0
16,M,Urbana,Media,11,Oficial,0,0,5.0,4.5,0,84.5,3,Universidad,0
6,F,Urbana,Primaria,1,Oficial,0,0,3.71,3.57,0,72.4,1,Secundaria_Incompleta,0
18,M,Urbana,Media,12,Oficial,0,1,4.32,4.82,3,59.0,1,Secundaria_Incompleta,1
12,F,Urbana,Premedia,7,Oficial,0,0,2.88,3.32,0,66.5,1,Secundaria_Incompleta,0
12,M,Urbana,Primaria,6,Oficial,0,1,3.5,3.74,0,52.3,1,Primaria_Completa,1
15,M,Urbana,Premedia,7,Oficial,0,3,3.71,3.66,0,87.9,2,Universidad,0
16,F,Urbana,Media,11,Oficial,0,0,3.47,3.21,0,67.9,1,Secundaria_Completa,0
17,F,Urbana,Media,11,Oficial,2,1,2.51,2.12,0,73.6,1,Secundaria_Incompleta,0
19,F,Urbana,Media,12,Oficial,0,2,3.58,3.2,0,59.1,1,Primaria_Completa,1
13,F,Rural,Premedia,8,Oficial,0,0,3.77,3.5,0,80.3,3,Secundaria_Completa,0
9,M,Rural,Primaria,4,Oficial,0,0,4.11,4.84,0,90.2,2,Universidad,0
9,M,Urbana,Primaria,4,Oficial,2,0,1.86,1.34,0,73.3,1,Secundaria_Incompleta,0
8,F,Rural,Primaria,3,Oficial,0,0,3.21,3.61,0,69.2,1,Primaria_Completa,0
7,F,Urbana,Primaria,2,Oficial,0,0,2.79,2.68,0,73.9,1,Secundaria_Completa,0
15,F,Urbana,Premedia,9,Oficial,0,1,3.07,3.2,0,74.0,1,Secundaria_Incompleta,0
10,F,Urbana,Primaria,5,Oficial,0,0,5.0,5.0,2,81.8,3,Universidad,0
12,F,Urbana,Premedia,7,Particular,0,0,3.19,2.74,0,81.4,3,Universidad,0
7,F,Urbana,Primaria,2,Oficial,0,0,3.05,2.33,3,91.7,2,Secundaria_Incompleta,0
13,F,Urbana,Primaria,5,Oficial,0,3,3.3,3.31,0,76.7,1,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Oficial,0,0,2.19,2.1,0,50.7,1,Primaria_Completa,1
9,F,Urbana,Primaria,4,Oficial,1,0,2.7,2.34,3,79.5,1,Primaria_Completa,0
14,F,Urbana,Premedia,9,Oficial,0,0,4.01,4.27,0,75.6,2,Secundaria_Incompleta,1
13,F,Urbana,Premedia,8,Particular,2,0,2.34,2.25,0,73.7,1,Secundaria_Incompleta,0
6,M,Urbana,Primaria,1,Oficial,0,0,4.57,4.8,0,81.4,3,Secundaria_Completa,0
15,F,Urbana,Premedia,8,Oficial,2,2,2.66,1.96,0,65.5,1,Primaria_Completa,1
6,F,Urbana,Primaria,1,Oficial,0,0,4.13,4.5,0,72.6,1,Secundaria_Incompleta,0
9,F,Urbana,Primaria,1,Oficial,0,3,2.48,2.24,3,61.3,1,Secundaria_Completa,0
16,F,Urbana,Premedia,8,Oficial,0,3,4.32,4.61,0,91.5,2,Secundaria_Completa,0
10,M,Urbana,Primaria,5,Oficial,2,0,1.76,1.32,0,66.8,1,Secundaria_Incompleta,0
9,M,Urbana,Primaria,4,Oficial,0,0,3.17,3.23,0,80.3,1,Secundaria_Completa,0
16,F,Urbana,Media,11,Oficial,0,0,3.49,3.57,0,68.3,1,Secundaria_Incompleta,1
6,M,Urbana,Primaria,1,Oficial,0,0,3.58,3.0,0,83.7,3,Universidad,0
18,F,Urbana,Media,11,Oficial,3,2,2.73,2.21,0,78.4,1,Primaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,3.97,4.77,0,68.7,1,Primaria_Incompleta,1
15,M,Urbana,Premedia,7,Particular,0,3,2.56,3.07,0,69.4,1,Secundaria_Incompleta,0
9,M,Urbana,Primaria,4,Oficial,0,0,3.52,2.94,3,99.2,2,Secundaria_Completa,0
11,F,Urbana,Primaria,6,Oficial,0,0,4.43,4.76,0,93.8,2,Secundaria_Completa,0
10,F,Urbana,Primaria,2,Oficial,0,3,3.64,3.95,0,73.3,1,Secundaria_Completa,0
17,M,Urbana,Media,12,Oficial,2,0,2.65,2.41,2,83.8,2,Secundaria_Incompleta,0
6,F,Urbana,Primaria,1,Oficial,2,0,2.43,2.48,1,68.7,1,Secundaria_Incompleta,0
16,F,Urbana,Media,11,Oficial,1,0,2.96,2.43,1,59.5,1,Secundaria_Incompleta,1
14,M,Rural,Premedia,9,Oficial,0,0,2.52,2.7,0,62.5,1,Secundaria_Incompleta,1
6,F,Urbana,Primaria,1,Oficial,0,0,2.55,2.43,0,75.1,1,Secundaria_Completa,0
12,M,Rural,Premedia,7,Oficial,0,0,2.6,2.35,2,69.8,1,Primaria_Completa,0
17,M,Urbana,Media,12,Particular,0,0,2.62,2.82,3,77.9,1,Secundaria_Incompleta,0
12,M,Urbana,Premedia,7,Particular,0,0,4.3,3.54,0,89.4,2,Secundaria_Completa,0
14,M,Urbana,Premedia,7,Oficial,0,2,4.42,4.59,0,61.8,1,Secundaria_Completa,1
17,M,Rural,Media,12,Particular,0,0,4.25,3.47,0,58.3,1,Secundaria_Incompleta,1
17,M,Urbana,Media,12,Oficial,2,0,2.71,2.17,3,83.6,2,Secundaria_Incompleta,0
6,M,Urbana,Primaria,1,Oficial,0,0,2.32,2.22,0,76.1,1,Secundaria_Completa,0
13,M,Rural,Premedia,8,Particular,3,0,2.45,2.44,3,71.9,1,Primaria_Completa,0
7,M,Urbana,Primaria,2,Oficial,0,0,4.03,4.16,0,91.0,2,Secundaria_Completa,0
15,F,Rural,Premedia,7,Oficial,0,3,3.91,4.55,2,70.9,1,Secundaria_Incompleta,0
19,F,Rural,Media,11,Oficial,0,3,3.26,3.13,0,70.1,1,Secundaria_Incompleta,0
12,M,Urbana,Premedia,7,Oficial,0,0,3.55,3.41,0,64.6,1,Secundaria_Incompleta,0
10,F,Urbana,Primaria,5,Oficial,2,0,2.52,2.37,0,69.1,1,Secundaria_Incompleta,0
12,M,Urbana,Premedia,7,Oficial,0,0,3.18,3.26,0,94.7,2,Secundaria_Completa,0
10,F,Urbana,Primaria,5,Oficial,0,0,3.85,4.63,0,92.1,3,Secundaria_Completa,0
15,M,Urbana,Premedia,8,Oficial,0,2,3.77,3.83,0,86.2,2,Secundaria_Completa,0
16,F,Urbana,Media,11,Oficial,0,0,3.07,3.14,0,63.1,1,Primaria_Completa,1
19,M,Urbana,Media,11,Oficial,2,3,2.07,1.86,1,70.7,1,Primaria_Completa,0
16,F,Urbana,Media,11,Oficial,2,0,2.0,1.53,0,52.7,1,Secundaria_Incompleta,1
14,M,Urbana,Premedia,9,Oficial,0,0,4.54,4.83,0,73.2,2,Secundaria_Incompleta,1
8,F,Urbana,Primaria,3,Oficial,0,0,3.7,3.33,2,87.4,1,Secundaria_Incompleta,0
14,M,Urbana,Premedia,7,Oficial,0,2,2.2,2.77,0,66.4,1,Secundaria_Completa,0
9,M,Urbana,Primaria,4,Oficial,0,0,3.15,2.79,0,73.1,1,Secundaria_Incompleta,0
13,M,Rural,Premedia,8,Oficial,0,0,4.39,4.86,0,89.0,2,Secundaria_Incompleta,0
13,F,Urbana,Premedia,8,Oficial,0,0,4.67,4.69,0,98.0,2,Universidad,0
8,F,Urbana,Primaria,3,Particular,0,0,4.75,4.77,0,95.0,3,Secundaria_Completa,0
17,M,Urbana,Media,11,Oficial,0,1,3.8,3.42,0,73.0,1,Secundaria_Incompleta,0
15,F,Urbana,Premedia,8,Oficial,0,2,2.91,3.03,1,71.3,1,Secundaria_Completa,1
9,M,Urbana,Primaria,4,Oficial,1,0,2.61,1.6,2,77.8,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,2.89,3.06,0,65.3,1,Secundaria_Completa,0
17,F,Urbana,Media,12,Oficial,0,0,5.0,5.0,0,94.4,3,Universidad,0
16,M,Urbana,Media,11,Oficial,0,0,3.75,3.7,0,75.3,1,Secundaria_Incompleta,0
9,F,Urbana,Primaria,2,Oficial,0,2,2.46,1.64,3,71.4,1,Secundaria_Incompleta,0
18,F,Urbana,Media,12,Particular,0,1,1.79,1.37,3,70.7,1,Secundaria_Incompleta,0
18,M,Urbana,Media,10,Oficial,0,3,2.5,2.29,2,68.6,1,Secundaria_Incompleta,1
14,F,Rural,Premedia,7,Oficial,0,2,4.08,4.16,0,80.8,2,Universidad,0
17,M,Urbana,Media,10,Oficial,0,2,3.14,2.97,0,69.4,1,Secundaria_Incompleta,0
7,M,Rural,Primaria,2,Oficial,0,0,4.47,4.18,0,92.3,2,Secundaria_Incompleta,0
15,M,Urbana,Media,10,Oficial,0,0,3.64,3.33,0,77.1,1,Secundaria_Incompleta,0
13,F,Rural,Premedia,8,Particular,0,0,3.66,4.04,0,72.6,1,Secundaria_Completa,0
7,F,Urbana,Primaria,2,Particular,0,0,3.46,4.01,0,68.7,2,Secundaria_Completa,1
9,F,Urbana,Primaria,4,Oficial,0,0,3.39,3.8,0,64.1,1,Secundaria_Incompleta,1
10,M,Rural,Primaria,5,Oficial,0,0,3.56,3.83,0,80.8,1,Secundaria_Incompleta,0
14,M,Rural,Premedia,7,Oficial,0,2,3.23,3.3,2,80.0,1,Universidad,0
12,F,Urbana,Premedia,7,Oficial,0,0,3.46,4.25,0,85.2,2,Primaria_Completa,0
16,F,Urbana,Media,11,Particular,0,0,4.55,4.42,0,95.7,3,Universidad,0
11,F,Rural,Primaria,6,Oficial,0,0,3.89,3.62,0,84.6,3,Universidad,0
17,M,Rural,Media,10,Oficial,0,2,3.45,3.77,0,69.8,1,Secundaria_Incompleta,1
17,M,Rural,Media,12,Particular,0,0,4.96,5.0,0,80.0,3,Universidad,1
8,M,Urbana,Primaria,3,Oficial,3,0,2.53,2.02,0,91.0,2,Secundaria_Incompleta,0
6,M,Rural,Primaria,1,Oficial,0,0,3.73,3.54,1,88.2,3,Universidad,0
10,M,Urbana,Primaria,5,Oficial,0,0,4.09,3.68,0,64.6,1,Secundaria_Incompleta,1
6,M,Urbana,Primaria,1,Oficial,0,0,3.97,4.33,0,88.5,2,Universidad,0
9,M,Rural,Primaria,4,Particular,0,0,4.22,4.21,0,86.6,3,Universidad,0
15,M,Rural,Media,10,Oficial,0,0,4.01,3.7,3,68.7,1,Secundaria_Incompleta,0
9,F,Urbana,Primaria,4,Oficial,0,0,3.24,3.41,0,88.2,3,Universidad,0
15,F,Urbana,Media,10,Oficial,0,0,3.28,2.75,0,56.1,1,Primaria_Completa,1
6,F,Urbana,Primaria,1,Oficial,0,0,4.36,4.03,0,68.8,1,Secundaria_Incompleta,0
18,M,Urbana,Media,12,Particular,0,1,2.94,3.04,2,74.5,1,Primaria_Completa,0
6,M,Urbana,Primaria,1,Oficial,0,0,3.17,3.3,0,75.1,1,Secundaria_Incompleta,0
8,M,Urbana,Primaria,3,Particular,0,0,2.96,2.47,0,78.6,1,Primaria_Completa,0
8,F,Urbana,Primaria,3,Oficial,0,0,4.02,4.93,0,81.4,1,Secundaria_Completa,0
15,M,Urbana,Media,10,Oficial,0,0,1.56,1.59,2,72.2,1,Secundaria_Incompleta,0
12,F,Urbana,Primaria,4,Oficial,0,3,3.89,3.72,0,78.7,2,Secundaria_Incompleta,0
12,M,Urbana,Premedia,7,Oficial,0,0,2.85,2.56,1,71.0,1,Secundaria_Incompleta,0
9,M,Urbana,Primaria,4,Oficial,0,0,4.01,3.87,0,82.7,2,Universidad,0
16,F,Urbana,Media,11,Oficial,0,0,4.75,4.33,0,81.4,3,Universidad,0
16,F,Urbana,Premedia,8,Oficial,0,3,2.77,3.54,0,73.5,1,Primaria_Completa,0
9,F,Urbana,Primaria,3,Oficial,0,1,3.36,3.74,0,77.1,1,Primaria_Completa,0
15,M,Urbana,Media,10,Oficial,0,0,4.13,3.41,0,89.0,2,Secundaria_Completa,0
9,M,Urbana,Primaria,4,Oficial,0,0,2.86,2.69,1,69.0,1,Secundaria_Completa,0
13,F,Urbana,Premedia,8,Oficial,1,0,2.32,2.17,2,67.8,1,Secundaria_Incompleta,0
13,M,Rural,Premedia,8,Oficial,0,0,4.31,4.3,0,69.2,1,Secundaria_Completa,0
17,M,Urbana,Media,10,Oficial,0,2,3.98,4.33,0,70.4,1,Secundaria_Incompleta,0
16,F,Urbana,Media,11,Oficial,0,0,2.79,3.32,0,71.4,1,Secundaria_Completa,0
12,F,Rural,Premedia,7,Oficial,0,0,3.14,2.74,0,81.0,1,Secundaria_Incompleta,0
9,M,Urbana,Primaria,1,Oficial,0,3,3.14,3.36,0,71.7,1,Secundaria_Completa,0
16,F,Urbana,Media,11,Oficial,0,0,2.74,2.15,0,58.4,1,Primaria_Completa,1
12,F,Urbana,Primaria,6,Oficial,0,1,3.81,3.91,0,71.4,1,Primaria_Completa,0
12,F,Urbana,Premedia,7,Oficial,0,0,4.35,4.63,1,73.8,1,Universidad,0
14,F,Rural,Premedia,9,Oficial,0,0,3.36,2.61,0,61.1,1,Secundaria_Completa,1
16,F,Rural,Premedia,8,Oficial,2,3,2.53,2.07,0,67.0,1,Primaria_Completa,1
17,M,Urbana,Media,12,Oficial,0,0,3.05,3.11,3,80.4,1,Universidad,0
9,F,Urbana,Primaria,4,Oficial,0,0,2.98,2.66,0,79.7,1,Secundaria_Incompleta,0
7,F,Rural,Primaria,2,Oficial,0,0,4.36,5.0,1,75.5,1,Secundaria_Incompleta,0
14,M,Urbana,Primaria,6,Oficial,2,3,1.89,1.62,1,68.6,1,Secundaria_Incompleta,0
14,F,Urbana,Premedia,9,Oficial,0,0,3.68,3.19,0,68.9,1,Secundaria_Incompleta,0
15,F,Urbana,Premedia,8,Oficial,0,2,4.01,4.29,0,66.4,1,Primaria_Completa,1
15,M,Urbana,Premedia,7,Oficial,0,3,3.03,2.83,0,57.9,1,Secundaria_Incompleta,1
13,M,Rural,Premedia,8,Oficial,0,0,2.46,2.77,2,63.3,1,Secundaria_Completa,0
13,F,Urbana,Premedia,8,Oficial,2,0,2.25,1.67,2,58.7,1,Secundaria_Incompleta,0
18,M,Urbana,Media,11,Oficial,0,2,4.61,4.95,0,60.1,1,Secundaria_Completa,1
15,M,Urbana,Media,10,Oficial,0,0,2.59,2.77,0,85.7,2,Universidad,0
7,F,Rural,Primaria,2,Oficial,0,0,3.92,4.58,0,81.2,1,Secundaria_Incompleta,0
9,M,Urbana,Primaria,4,Oficial,0,0,4.11,3.65,0,91.8,3,Universidad,0
9,M,Urbana,Primaria,4,Particular,0,0,3.61,4.2,0,93.5,2,Secundaria_Completa,0
12,F,Urbana,Premedia,7,Particular,0,0,3.34,3.83,0,95.3,2,Secundaria_Completa,0
16,F,Rural,Premedia,8,Oficial,0,3,4.62,4.46,3,75.9,2,Secundaria_Incompleta,0
6,F,Urbana,Primaria,1,Oficial,0,0,3.75,3.4,0,75.9,1,Secundaria_Incompleta,0
16,F,Rural,Media,11,Oficial,0,0,1.75,1.07,0,66.5,1,Secundaria_Incompleta,0
10,M,Rural,Primaria,4,Particular,0,1,2.45,3.04,2,64.5,1,Secundaria_Incompleta,0
15,M,Urbana,Media,10,Oficial,0,0,3.62,4.18,0,69.3,1,Secundaria_Incompleta,0
6,F,Urbana,Primaria,1,Oficial,0,0,3.56,3.47,1,78.4,2,Secundaria_Incompleta,0
16,F,Rural,Premedia,9,Oficial,0,2,3.0,2.81,0,87.0,1,Secundaria_Completa,0
20,M,Urbana,Media,12,Oficial,1,3,2.22,1.93,3,66.2,1,Secundaria_Completa,1
11,F,Urbana,Primaria,6,Oficial,0,0,3.38,3.17,0,76.6,1,Primaria_Completa,0
11,F,Rural,Primaria,6,Particular,0,0,2.85,1.83,0,86.8,2,Secundaria_Completa,0
12,M,Urbana,Primaria,4,Oficial,0,3,2.36,1.59,2,69.4,1,Primaria_Completa,0
18,F,Urbana,Media,11,Oficial,0,2,3.71,3.83,0,85.2,2,Secundaria_Incompleta,0
6,F,Rural,Primaria,1,Oficial,1,0,2.17,2.26,2,50.3,1,Secundaria_Incompleta,1
14,F,Urbana,Premedia,9,Oficial,0,0,3.09,3.24,0,59.1,1,Primaria_Completa,0
8,F,Urbana,Primaria,3,Particular,0,0,2.94,1.77,0,67.8,1,Primaria_Incompleta,0
12,F,Urbana,Premedia,7,Oficial,0,0,4.18,4.27,0,88.2,2,Secundaria_Incompleta,0
17,F,Urbana,Media,12,Oficial,0,0,2.76,2.39,1,73.0,1,Secundaria_Incompleta,0
14,M,Rural,Premedia,9,Oficial,0,0,4.01,3.94,0,80.5,1,Secundaria_Completa,0
9,M,Urbana,Primaria,1,Oficial,0,3,2.63,3.25,1,62.7,1,Primaria_Completa,1
17,F,Rural,Media,12,Oficial,0,0,1.58,1.04,2,59.6,1,Secundaria_Incompleta,0
16,M,Urbana,Media,11,Oficial,1,0,2.65,2.36,0,65.5,1,Secundaria_Completa,1
7,M,Urbana,Primaria,2,Oficial,0,0,3.68,4.09,0,84.7,2,Secundaria_Incompleta,0
13,M,Rural,Premedia,8,Oficial,0,0,3.82,3.47,0,67.7,1,Primaria_Incompleta,0
16,M,Urbana,Media,11,Oficial,0,0,3.16,2.91,0,70.5,1,Secundaria_Completa,0
16,M,Urbana,Media,10,Oficial,0,1,2.21,2.2,2,66.6,1,Secundaria_Completa,0
6,M,Rural,Primaria,1,Oficial,0,0,4.7,5.0,0,85.4,2,Secundaria_Incompleta,0
